,experiment,width,depth,optyx_time,perceval_time,n_runs
0,Bosonic product state,2,1,0.0005380020011216402,0.0001711089862510562,1
1,Bosonic product state,2,2,0.0005237549776211381,0.00011577497934922576,1
2,Bosonic product state,3,1,0.0004835000145249069,0.00011910201283171773,1
3,Bosonic product state,3,2,0.0006868300260975957,0.0001338900183327496,1
4,Bosonic product state,3,3,0.0007852530106902122,0.00022612098837271333,1
5,Bosonic product state,4,1,0.0007022079662419856,0.0001305330079048872,1
6,Bosonic product state,4,2,0.001526012027170509,0.0002537730033509433,1
7,Bosonic product state,4,3,0.0020899639930576086,0.0003441209555603564,1
8,Bosonic product state,4,4,0.0019019029568880796,0.00036487000761553645,1
9,Bosonic product state,5,1,0.0008966999594122171,0.00016013899585232139,1
10,Bosonic product state,5,2,0.0012579929898492992,0.0003908080398105085,1
11,Bosonic product state,5,3,0.0037947300006635487,0.0008672359981574118,1
12,Bosonic product state,5,4,0.02280359499854967,0.0009184409864246845,1
13,Bosonic product state,5,5,0.029871642007492483,0.0009305740240961313,1
14,Bosonic product state,6,1,0.001081465044990182,0.00021319702500477433,1
15,Bosonic product state,6,2,0.002226649026852101,0.0014197039999999106,1
16,Bosonic product state,6,3,0.036601440981030464,0.0031228180159814656,1
17,Bosonic product state,6,4,0.6892492630286142,0.002805086027365178,1
18,Bosonic product state,6,5,9.72681644995464,0.002903137996327132,1
19,Bosonic product state,6,6,9.765167026023846,0.0028006480424664915,1
20,Bosonic product state,7,1,0.0011719830217771232,0.00025274103973060846,1
21,Bosonic product state,7,2,0.00331029697554186,0.0037851420347578824,1
22,Bosonic product state,8,1,0.001453367993235588,0.0004381659673526883,1
23,Bosonic product state,9,1,0.002058264974039048,0.0006534780259244144,1
24,Bosonic product state,10,1,0.0021570190438069403,0.0016635890351608396,1
25,Bosonic product state,11,1,0.0033481180435046554,0.002089022018481046,1
26,Bosonic product state,12,1,0.007847931003198028,0.0060584970051422715,1
27,Bosonic product state,13,1,0.009145789023023099,0.016635994019452482,1
28,Bosonic product state,14,1,0.07281735201831907,0.03709527099272236,1
0,GHZ,6,1,0.001079259964171797,0.00023791298735886812,1
1,GHZ,6,2,0.001651436963584274,0.0003171510179527104,1
2,GHZ,6,3,0.018898849957622588,0.0005603139870800078,1
3,GHZ,8,1,0.001596724963746965,0.0006030530203133821,1
4,GHZ,10,1,0.0025632450124248862,0.0004351999959908426,1
5,GHZ,12,1,0.004521022958215326,0.0007439960027113557,1
6,GHZ,14,1,0.031617956003174186,0.0011684269993565977,1
0,Linear cluster state,2,1,0.0006095659919083118,0.00020423997193574905,1
1,Linear cluster state,2,2,0.0005364299868233502,0.00015276501653715968,1
2,Linear cluster state,4,1,0.0009656090405769646,0.00022719299886375666,1
3,Linear cluster state,4,2,0.001153238001279533,0.00023473799228668213,1
4,Linear cluster state,4,3,0.00212990801082924,0.00031831301748752594,1
5,Linear cluster state,4,4,0.002714817994274199,0.00031451601535081863,1
6,Linear cluster state,6,1,0.0013618770171888173,0.00028792599914595485,1
7,Linear cluster state,6,2,0.003116004983894527,0.0005638800212182105,1
8,Linear cluster state,6,3,0.0236476170248352,0.0007762960158288479,1
9,Linear cluster state,6,4,0.47227525897324085,0.0008354260353371501,1
10,Linear cluster state,6,5,5.455657143029384,0.0008882149704732001,1
11,Linear cluster state,6,6,5.353215629002079,0.0008262399933300912,1
12,Linear cluster state,8,1,0.0018023780430667102,0.0005726870149374008,1
13,Linear cluster state,10,1,0.009578094002790749,0.001345706987194717,1
14,Linear cluster state,12,1,0.004027453018352389,0.0035466279950924218,1
15,Linear cluster state,14,1,0.012478879012633115,0.017887774971313775,1
